question_id;question;question_type;answer;is_correct
1;Which planet is closest to the Sun?;astronomy;Venus;False
1;Which planet is closest to the Sun?;astronomy;Mercury;True
1;Which planet is closest to the Sun?;astronomy;Earth;False
1;Which planet is closest to the Sun?;astronomy;Mars;False
2;Which planet is known as the Red Planet?;astronomy;Venus;False
2;Which planet is known as the Red Planet?;astronomy;Mars;True
2;Which planet is known as the Red Planet?;astronomy;Jupiter;False
2;Which planet is known as the Red Planet?;astronomy;Saturn;False
3;What is the speed of light?;astronomy;300,000 km/s;True
3;What is the speed of light?;astronomy;150,000 km/s;False
3;What is the speed of light?;astronomy;450,000 km/s;False
3;What is the speed of light?;astronomy;600,000 km/s;False
4;How many planets are in our Solar System?;astronomy;7;False
4;How many planets are in our Solar System?;astronomy;8;True
4;How many planets are in our Solar System?;astronomy;9;False
4;How many planets are in our Solar System?;astronomy;10;False
5;What is the largest planet in our Solar System?;astronomy;Jupiter;True
5;What is the largest planet in our Solar System?;astronomy;Saturn;False
5;What is the largest planet in our Solar System?;astronomy;Neptune;False
5;What is the largest planet in our Solar System?;astronomy;Uranus;False
6;Which planet has the most moons?;astronomy;Jupiter;False
6;Which planet has the most moons?;astronomy;Saturn;True
6;Which planet has the most moons?;astronomy;Uranus;False
6;Which planet has the most moons?;astronomy;Neptune;False
7;What is the name of our galaxy?;astronomy;Andromeda;False
7;What is the name of our galaxy?;astronomy;Milky Way;True
7;What is the name of our galaxy?;astronomy;Triangulum;False
7;What is the name of our galaxy?;astronomy;Whirlpool;False
8;What is a black hole?;astronomy;A star;False
8;What is a black hole?;astronomy;A planet;False
8;What is a black hole?;astronomy;A region of space;True
8;What is a black hole?;astronomy;A galaxy;False
9;What is the Earth's natural satellite?;astronomy;Moon;True
9;What is the Earth's natural satellite?;astronomy;Phobos;False
9;What is the Earth's natural satellite?;astronomy;Deimos;False
9;What is the Earth's natural satellite?;astronomy;Titan;False
10;What is a comet made of?;astronomy;Rock;False
10;What is a comet made of?;astronomy;Ice;False
10;What is a comet made of?;astronomy;Dust;False
10;What is a comet made of?;astronomy;All of the above;True
11;Which planet is farthest from the Sun?;astronomy;Uranus;False
11;Which planet is farthest from the Sun?;astronomy;Neptune;True
11;Which planet is farthest from the Sun?;astronomy;Pluto;False
11;Which planet is farthest from the Sun?;astronomy;Saturn;False
12;What causes the seasons on Earth?;astronomy;Distance from Sun;False
12;What causes the seasons on Earth?;astronomy;Earth's tilt;True
12;What causes the seasons on Earth?;astronomy;Rotation;False
12;What causes the seasons on Earth?;astronomy;Revolution;False
13;What is the brightest star in the night sky?;astronomy;Sirius;True
13;What is the brightest star in the night sky?;astronomy;Vega;False
13;What is the brightest star in the night sky?;astronomy;Arcturus;False
13;What is the brightest star in the night sky?;astronomy;Rigel;False
14;What is the name of the first artificial satellite?;astronomy;Sputnik;True
14;What is the name of the first artificial satellite?;astronomy;Vostok;False
14;What is the name of the first artificial satellite?;astronomy;Apollo;False
14;What is the name of the first artificial satellite?;astronomy;Gemini;False
15;Which planet rotates on its side?;astronomy;Venus;False
15;Which planet rotates on its side?;astronomy;Uranus;True
15;Which planet rotates on its side?;astronomy;Mars;False
15;Which planet rotates on its side?;astronomy;Jupiter;False
16;What is the Kuiper Belt?;astronomy;A belt of asteroids;False
16;What is the Kuiper Belt?;astronomy;A belt of comets;True
16;What is the Kuiper Belt?;astronomy;A ring around Saturn;False
16;What is the Kuiper Belt?;astronomy;A galaxy;False
17;What is the Oort Cloud?;astronomy;A cloud of gas;False
17;What is the Oort Cloud?;astronomy;A cloud of comets;True
17;What is the Oort Cloud?;astronomy;A nebula;False
17;What is the Oort Cloud?;astronomy;A star cluster;False
18;Which planet has a Great Red Spot?;astronomy;Mars;False
18;Which planet has a Great Red Spot?;astronomy;Jupiter;True
18;Which planet has a Great Red Spot?;astronomy;Saturn;False
18;Which planet has a Great Red Spot?;astronomy;Neptune;False
19;What is the temperature on the surface of Venus?;astronomy;Hot;True
19;What is the temperature on the surface of Venus?;astronomy;Cold;False
19;What is the temperature on the surface of Venus?;astronomy;Freezing;False
19;What is the temperature on the surface of Venus?;astronomy;Boiling;False
20;What is the name of the largest moon of Jupiter?;astronomy;Io;False
20;What is the name of the largest moon of Jupiter?;astronomy;Europa;False
20;What is the name of the largest moon of Jupiter?;astronomy;Ganymede;True
20;What is the name of the largest moon of Jupiter?;astronomy;Callisto;False
21;What is the capital of France?;geography;Paris;True
21;What is the capital of France?;geography;London;False
21;What is the capital of France?;geography;Berlin;False
21;What is the capital of France?;geography;Madrid;False
22;What is the largest ocean on Earth?;geography;Atlantic;False
22;What is the largest ocean on Earth?;geography;Indian;False
22;What is the largest ocean on Earth?;geography;Arctic;False
22;What is the largest ocean on Earth?;geography;Pacific;True
23;Which country is home to the Great Wall?;geography;Japan;False
23;Which country is home to the Great Wall?;geography;China;True
23;Which country is home to the Great Wall?;geography;Korea;False
23;Which country is home to the Great Wall?;geography;Vietnam;False
24;How many continents are there?;geography;5;False
24;How many continents are there?;geography;6;False
24;How many continents are there?;geography;7;True
24;How many continents are there?;geography;8;False
25;What is the capital of Japan?;geography;Osaka;False
25;What is the capital of Japan?;geography;Tokyo;True
25;What is the capital of Japan?;geography;Kyoto;False
25;What is the capital of Japan?;geography;Yokohama;False
26;In which country is the Eiffel Tower located?;geography;Italy;False
26;In which country is the Eiffel Tower located?;geography;Spain;False
26;In which country is the Eiffel Tower located?;geography;France;True
26;In which country is the Eiffel Tower located?;geography;Germany;False
27;What is the capital of Germany?;geography;Munich;False
27;What is the capital of Germany?;geography;Hamburg;False
27;What is the capital of Germany?;geography;Berlin;True
27;What is the capital of Germany?;geography;Cologne;False
28;What is the capital of Spain?;geography;Barcelona;False
28;What is the capital of Spain?;geography;Madrid;True
28;What is the capital of Spain?;geography;Seville;False
28;What is the capital of Spain?;geography;Valencia;False
29;What is the highest mountain in the world?;geography;Everest;True
29;What is the highest mountain in the world?;geography;Kanchenjunga;False
29;What is the highest mountain in the world?;geography;Lhotse;False
29;What is the highest mountain in the world?;geography;Makalu;False
30;In which ocean is Easter Island located?;geography;Pacific;True
30;In which ocean is Easter Island located?;geography;Atlantic;False
30;In which ocean is Easter Island located?;geography;Indian;False
30;In which ocean is Easter Island located?;geography;Arctic;False
31;What is the longest river in the world?;geography;Amazon;False
31;What is the longest river in the world?;geography;Nile;True
31;What is the longest river in the world?;geography;Yangtze;False
31;What is the longest river in the world?;geography;Mississippi;False
32;What is the capital of Australia?;geography;Sydney;False
32;What is the capital of Australia?;geography;Melbourne;False
32;What is the capital of Australia?;geography;Canberra;True
32;What is the capital of Australia?;geography;Brisbane;False
33;In which country is the Sahara Desert located?;geography;Egypt;False
33;In which country is the Sahara Desert located?;geography;Libya;False
33;In which country is the Sahara Desert located?;geography;Algeria;True
33;In which country is the Sahara Desert located?;geography;Morocco;False
34;What is the smallest continent?;geography;Europe;False
34;What is the smallest continent?;geography;Australia;True
34;What is the smallest continent?;geography;Africa;False
34;What is the smallest continent?;geography;South America;False
35;Which country has the largest land area?;geography;China;False
35;Which country has the largest land area?;geography;Russia;True
35;Which country has the largest land area?;geography;USA;False
35;Which country has the largest land area?;geography;Canada;False
36;What is the capital of Italy?;geography;Rome;True
36;What is the capital of Italy?;geography;Milan;False
36;What is the capital of Italy?;geography;Venice;False
36;What is the capital of Italy?;geography;Florence;False
37;In which country is Machu Picchu located?;geography;Peru;True
37;In which country is Machu Picchu located?;geography;Bolivia;False
37;In which country is Machu Picchu located?;geography;Chile;False
37;In which country is Machu Picchu located?;geography;Argentina;False
38;What is the deepest ocean?;geography;Atlantic;False
38;What is the deepest ocean?;geography;Pacific;True
38;What is the deepest ocean?;geography;Indian;False
38;What is the deepest ocean?;geography;Arctic;False
39;Which country is known as the Land of the Rising Sun?;geography;China;False
39;Which country is known as the Land of the Rising Sun?;geography;Japan;True
39;Which country is known as the Land of the Rising Sun?;geography;Korea;False
39;Which country is known as the Land of the Rising Sun?;geography;Vietnam;False
40;What is the capital of Brazil?;geography;Rio de Janeiro;False
40;What is the capital of Brazil?;geography;Sao Paulo;False
40;What is the capital of Brazil?;geography;Brasilia;True
40;What is the capital of Brazil?;geography;Salvador;False
41;In which year did World War II end?;history;1943;False
41;In which year did World War II end?;history;1944;False
41;In which year did World War II end?;history;1945;True
41;In which year did World War II end?;history;1946;False
42;Who was the first President of the United States?;history;George Washington;True
42;Who was the first President of the United States?;history;Abraham Lincoln;False
42;Who was the first President of the United States?;history;Thomas Jefferson;False
42;Who was the first President of the United States?;history;John Adams;False
43;When did the Berlin Wall fall?;history;1987;False
43;When did the Berlin Wall fall?;history;1988;False
43;When did the Berlin Wall fall?;history;1989;True
43;When did the Berlin Wall fall?;history;1990;False
44;Who wrote 'War and Peace'?;history;Dostoevsky;False
44;Who wrote 'War and Peace'?;history;Tolstoy;True
44;Who wrote 'War and Peace'?;history;Chekhov;False
44;Who wrote 'War and Peace'?;history;Gogol;False
45;In which century did the French Revolution occur?;history;17th;False
45;In which century did the French Revolution occur?;history;18th;True
45;In which century did the French Revolution occur?;history;19th;False
45;In which century did the French Revolution occur?;history;20th;False
46;What was the capital of the Roman Empire?;history;Athens;False
46;What was the capital of the Roman Empire?;history;Carthage;False
46;What was the capital of the Roman Empire?;history;Rome;True
46;What was the capital of the Roman Empire?;history;Constantinople;False
47;Who discovered America?;history;Columbus;True
47;Who discovered America?;history;Magellan;False
47;Who discovered America?;history;Vasco da Gama;False
47;Who discovered America?;history;Cook;False
48;When did the Cold War end?;history;1985;False
48;When did the Cold War end?;history;1989;False
48;When did the Cold War end?;history;1991;True
48;When did the Cold War end?;history;1995;False
49;In which year did World War I begin?;history;1912;False
49;In which year did World War I begin?;history;1913;False
49;In which year did World War I begin?;history;1914;True
